unix,low,high,open,close,volume,date
1483228800,8.11,8.27,8.16,8.27,2510.67732422,2017-01-01 00:00:00
1483232400,8.25,8.3,8.26,8.3,1610.3152,2017-01-01 01:00:00
1483236000,8.3,8.53,8.3,8.47,3139.98709039,2017-01-01 02:00:00
1483239600,8.45,8.6,8.45,8.59,3503.82608469,2017-01-01 03:00:00
1483243200,8.49,8.6,8.58,8.53,1693.23301,2017-01-01 04:00:00
1483246800,8.34,8.54,8.53,8.38,2223.61135575,2017-01-01 05:00:00
1483250400,8.36,8.49,8.38,8.49,510.82634291,2017-01-01 06:00:00
1483254000,8.39,8.49,8.46,8.41,998.36821633,2017-01-01 07:00:00
1483257600,8.35,8.44,8.43,8.41,423.25545048,2017-01-01 08:00:00
1483261200,8.35,8.43,8.41,8.38,407.33032531,2017-01-01 09:00:00
1483264800,8.16,8.42,8.39,8.2,3250.80759549,2017-01-01 10:00:00
1483268400,8.2,8.26,8.21,8.23,380.439545,2017-01-01 11:00:00
1483272000,8.2,8.26,8.21,8.23,342.07112,2017-01-01 12:00:00
1483275600,8.23,8.39,8.26,8.39,520.47728294,2017-01-01 13:00:00
1483279200,8.3,8.39,8.38,8.35,1041.81924045,2017-01-01 14:00:00
1483282800,8.31,8.42,8.34,8.42,1025.62143352,2017-01-01 15:00:00
1483286400,8.31,8.44,8.42,8.37,8012.7220347,2017-01-01 16:00:00
1483290000,8.24,8.37,8.37,8.33,3819.81067742,2017-01-01 17:00:00
1483293600,8.3,8.37,8.33,8.36,3092.92143765,2017-01-01 18:00:00
1483297200,8.31,8.37,8.36,8.33,1817.07426978,2017-01-01 19:00:00
1483300800,8.16,8.35,8.33,8.2,8694.17725463,2017-01-01 20:00:00
1483304400,8.08,8.19,8.19,8.12,6012.772595,2017-01-01 21:00:00
1483308000,8.09,8.17,8.12,8.11,3184.37977393,2017-01-01 22:00:00
1483311600,8.09,8.2,8.09,8.18,1303.26428035,2017-01-01 23:00:00
1483315200,8.15,8.2,8.2,8.17,1486.34490978,2017-01-02 00:00:00
1483318800,8.09,8.21,8.16,8.19,1917.933995,2017-01-02 01:00:00
1483322400,8.13,8.22,8.21,8.14,2991.27510591,2017-01-02 02:00:00
1483326000,8.05,8.21,8.14,8.18,5690.29543049,2017-01-02 03:00:00
1483329600,8.11,8.18,8.18,8.15,3318.63279384,2017-01-02 04:00:00
1483333200,8.06,8.18,8.16,8.13,1699.12169,2017-01-02 05:00:00
1483336800,8.11,8.16,8.13,8.16,758.23454,2017-01-02 06:00:00
1483340400,8.12,8.2,8.16,8.18,2426.85146895,2017-01-02 07:00:00
1483344000,8.09,8.19,8.19,8.18,580.68868742,2017-01-02 08:00:00
1483347600,8.15,8.18,8.18,8.18,603.91005,2017-01-02 09:00:00
1483351200,8.16,8.19,8.18,8.18,1064.04536,2017-01-02 10:00:00
1483354800,8.1,8.19,8.17,8.1,2523.86016286,2017-01-02 11:00:00
1483358400,8.06,8.19,8.11,8.16,2696.02328433,2017-01-02 12:00:00
1483362000,8.15,8.2,8.15,8.18,2218.64863375,2017-01-02 13:00:00
1483365600,8.18,8.24,8.18,8.21,2621.26160195,2017-01-02 14:00:00
1483369200,8.17,8.3,8.21,8.29,2906.99794856,2017-01-02 15:00:00
1483372800,8.27,8.45,8.3,8.45,6881.93400745,2017-01-02 16:00:00
